0xe0061d31,EFLensCom.GetLatestGyroData_FW
0xe0061d6f,EFLensCom.SetFocusSpdPtn_FW
0xe0061d8b,EFLensCom.MoveFocus_FW
0xe0061dad,EFLensCom.GetAberrationData_FW
0xe0061ded,EFLensCom.LoadiBpManufacture_FW
0xe0061eed,EFLensCom.IsSafeModeLens_FW
0xe0061f07,EFLensCom.GetLensType_FW
0xe0061f25,EFLensCom.AFMFSwState_FW
0xe0061f3d,EFLensCom.OneShotEFStatus_FW
0xe0061f51,EFLensCom.ChangeEF2Sync_FW
0xe00623a9,EFLensCom.ChangeSync2EF_FW
0xe00623c3,EFLensCom.GetEFComState_FW
0xe00623ff,EFLensCom.PrintDCLInit_FW
0xe0062f87,EFLensCom.PrintDLCInit_FW
0xe0064335,EFLensCom.PrintDCL1st_FW
0xe0064e35,EFLensCom.PrintDLC1st_FW
0xe00660af,EFLensCom.PrintDCL2nd_FW
0xe00661a5,EFLensCom.PrintDLC2nd_FW
0xe00661f5,EFLensCom.LensFirmUpdate_FW
0xe0066689,EFLensTool.Create_FW
0xe0066695,EFLensEEPROM.Create_FW
0xe0066a5f,SubCPURomCheckSum_FW
0xe0067825,InitializeWLAN_FW
0xe0067841,TerminateWLAN_FW
0xe00678c3,LeaveWLANNetwork_FW
0xe00687a7,task_ReadScheduleTask
0xe006e889,task_PCN_HB_RECV
0xe006f06f,task_ReadFileTask
0xe007021f,kbd_read_keys_r2
0xe00703b7,GetKbdState
0xe00708fb,j_GetKbdState
0xe0070b27,task_PhySw_ReleaseSw
0xe00728b3,task_BatteryTask
0xe0072c69,GetVBatVoltage_FW
0xe0072c69,VbattGet
0xe0072c69,VbattGet_FW
0xe0073469,drysh_FW
0xe0073c11,task_RemCPUSwChk
0xe0073ca7,StartSwitchCheck_FW
0xe0073ce9,StopSwitchCheck_FW
0xe0073db5,j_StartCameraLog_FW
0xe0073db9,j_ShowCameraLog_FW
0xe0073dbd,j_ShowCameraLogInfo_FW
0xe0073dc1,j_StopCameraLog_FW
0xe0073dc5,j_PutsCameraLogEvent_FW
0xe0073dc9,OpLog.Create_FW
0xe0073e1b,j_NewTaskShell_FW
